YUBI Glove Assy_PARTS LIST,,,,,,,,,,
,,,,,,,,,,YUBI Glove Assy_Right-handed
No.,PART No.,TYPE,PART NAME,Qty.,MATERIAL,REMARKS,FILE NAME (STL/STEP),Vendor,Link
40,KEG3-6,STANDARD,PARALLEL KEY,2,S45C,,,misumi,https://us.misumi-ec.com/vona2/detail/110302681730/?HissuCode=KEG3-6
41,LRLM3-6,STANDARD,KNURLED BOLT,1,SCM435,,,misumi,https://us.misumi-ec.com/vona2/detail/110300245210/?HissuCode=LRLM3-6
42,SB-264040,STANDARD,INSERT,7,BRASS,Tokai Metal bit insert (M2.6),,misumi,https://jp.misumi-ec.com/vona2/detail/221000748307/?HissuCode=SB-264040
43,SB-304550,STANDARD,INSERT,2,BRASS,Tokai Metal bit insert (M3),,misumi,https://jp.misumi-ec.com/vona2/detail/221000748307/?HissuCode=SB-304550
44,WSSAB10-5-1,STANDARD,WASHER,2,A2017,,,misumi,https://us.misumi-ec.com/vona2/detail/110302677010/?HissuCode=WSSAB10-5-1
45,AJKTNS5-70,STANDARD,ADJUST BOLT,1,S45C,,,misumi,https://us.misumi-ec.com/vona2/detail/110300599320/?HissuCode=AJKTNS5-70
46,HNTT5-5,STANDARD,T-SLOT NUT,1,S10C,,,misumi,https://us.misumi-ec.com/vona2/detail/110302246150/?HissuCode=HNTT5-5
47,HYPER V SHEET,STANDARD,RUBBER SHEET_R,1,HYPER V SHEET,Nisshin Rubber Hyper V sheet,,misumi,https://jp.misumi-ec.com/vona2/detail/223013695315/
48,HYPER V SHEET,STANDARD,RUBBER SHEET_L,1,HYPER V SHEET,Nisshin Rubber Hyper V sheet,,misumi,https://jp.misumi-ec.com/vona2/detail/223013695315/
49,ELASTIC BAND,STANDARD,ELASTIC BAND (8-cord elastic),1,"RUBBER+
POLYESTER",,,amazon,https://www.amazon.co.jp/dp/B091SX2JWL
